aggregation,group,method,budget,n,quality_mean,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,ssd_read_mb_mean,ssd_read_mb_total,selector_ms_mean,scatter_ms_mean,prefill_ms_mean,selected_kv_ratio_mean,logical_visual_token_ratio_mean,ssd_payload_ratio_vs_full_visual_kv_mean,history_tokens_mean,active_visual_tokens_mean,total_context_tokens_mean,full_visual_kv_gb_mean,selected_visual_kv_gb_mean,gpu_memory_allocated_gb_mean,gpu_peak_memory_allocated_gb_mean,process_rss_gb_mean,ssd_read_ratio_vs_fullload,ttft_reduction_vs_fullload_pct,ssd_reduction_vs_fullload_pct,quality_delta_vs_fullload,ttft_reduction_vs_sparsevlm_pct,ssd_reduction_vs_sparsevlm_pct
turn,5,SparseVLM 25%,0.25,2,0.5,713.6314715025946,713.6314715025946,732.0498459390365,24.129353987518698,24.129353987518698,24.19355459860526,737.7608254901133,737.7608254901133,756.1149993154686,866.009088,1732.018176,,,,0.24621125143513203,0.24621125143513203,0.6904735138410512,80.0,2242.0,2354.0,1.175453696,0.810909696,5.234724352,6.585782528,2.13105664,0.7367445361284567,,,,,
turn,5,Static+Diverse 25%,0.25,2,0.5,317.2704669996165,317.2704669996165,321.15406959783286,19.737458002055064,19.737458002055064,20.06598232255783,337.00792500167154,337.00792500167154,341.2200519203907,301.13792,602.27584,15.822553454199806,53.44416241860017,49.041072983527556,0.24247990815154996,0.24247990815154996,0.2560466896287792,80.0,2242.0,2354.0,1.175453696,0.30113792,5.235203584,6.585522176,2.13105664,0.25618867082961644,50.6631368020985,74.38113291703836,0.0,55.5414132266919,65.226933045765
turn,5,Static+Diverse 50%,0.5,2,0.5,550.7986934971996,550.7986934971996,564.9269398883916,19.757582485908642,19.757582485908642,20.148995649651624,570.5562759831082,570.5562759831082,584.2931092105573,597.950464,1195.900928,24.340754171134904,94.7855374251958,52.97585148946382,0.48643959688735805,0.48643959688735805,0.5090170142875367,80.0,2242.0,2354.0,1.175453696,0.597950464,5.234724352,6.585297664,2.131253248,0.5086975914362176,14.348536604615436,49.13024085637824,0.0,22.817488368687087,30.953326900883514
turn,6,FullLoad,1.0,2,1.0,673.1867104826961,673.1867104826961,680.3757894405862,21.749459527200088,21.749459527200088,23.494928076979704,694.9361700098962,694.9361700098962,703.8707175175659,1175.453696,2350.907392,0.0,,,1.0,1.0,1.0,94.5,2242.0,2370.5,1.175453696,1.175453696,5.235203584,6.59817472,2.131351552,1.0,,,,,
turn,6,ReComp,,2,1.0,525.3784404776525,525.3784404776525,559.8764030175516,18.964348011650145,18.964348011650145,19.117131090024486,544.3427884893026,544.3427884893026,578.9935341075761,0.0,0.0,0.0,0.0,525.3782899817452,,,,94.5,2242.0,2370.5,1.175453696,0.0,5.234724352,8.395505152,2.131253248,0.0,,,,,
turn,6,SparseVLM 25%,0.25,2,1.0,661.6938119695988,661.6938119695988,705.008584461757,28.34150052512996,28.34150052512996,31.508150984882377,690.0353124947287,690.0353124947287,736.5167354466394,871.54688,1743.09376,,,,0.24621125143513203,0.24621125143513203,0.6947920653144534,94.5,2242.0,2370.5,1.175453696,0.816447488,5.234724352,6.59869952,2.131351552,0.7414557314897413,,,,,
turn,6,Static+Diverse 25%,0.25,2,1.0,351.52781498618424,351.52781498618424,353.55758226360194,20.015150512335822,20.015150512335822,20.08142069389578,371.54296549852006,371.54296549852006,373.6390029574977,301.13792,602.27584,16.43065907410346,54.33257215190679,47.032679518451914,0.24247990815154996,0.24247990815154996,0.2560466896287792,94.5,2242.0,2370.5,1.175453696,0.30113792,5.235203584,6.598330368,2.131351552,0.25618867082961644,47.781527841788844,74.38113291703836,0.0,46.874550036998826,65.44788043989097
turn,6,Static+Diverse 50%,0.5,2,1.0,494.0444924868643,494.0444924868643,529.3232779484242,19.60539401625283,19.60539401625283,19.682622121763416,513.6498865031172,513.6498865031172,549.0059000701876,597.950464,1195.900928,18.03972345078364,84.2261649959255,52.26394295459613,0.48643959688735805,0.48643959688735805,0.5090170142875367,94.5,2242.0,2370.5,1.175453696,0.597950464,5.234724352,6.598141952,2.131351552,0.5086975914362176,26.611074640404166,49.13024085637824,0.0,25.33638919543606,31.392048124823756
turn,7,FullLoad,1.0,2,0.5,647.9133979883045,647.9133979883045,674.6077174961101,27.960071485722438,27.960071485722438,35.14179385674652,675.8734694740269,675.8734694740269,695.3860666108085,1175.453696,2350.907392,0.0,,,1.0,1.0,1.0,109.5,2242.0,2386.5,1.175453696,1.175453696,5.235203584,6.610962176,2.131351552,1.0,,,,,
turn,7,ReComp,,2,0.5,538.2893430069089,538.2893430069089,553.6518956767395,19.604752014856786,19.604752014856786,19.851727306377143,557.8940950217657,557.8940950217657,573.0096724000759,0.0,0.0,0.0,0.0,538.2891515037045,,,,109.5,2242.0,2386.5,1.175453696,0.0,5.234724352,8.428405504,2.131351552,0.0,,,,,
