aggregation,group,method,budget,n,quality_mean,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,ssd_read_mb_mean,ssd_read_mb_total,selector_ms_mean,scatter_ms_mean,prefill_ms_mean,selected_kv_ratio_mean,logical_visual_token_ratio_mean,ssd_payload_ratio_vs_full_visual_kv_mean,history_tokens_mean,active_visual_tokens_mean,total_context_tokens_mean,full_visual_kv_gb_mean,selected_visual_kv_gb_mean,gpu_memory_allocated_gb_mean,gpu_peak_memory_allocated_gb_mean,process_rss_gb_mean,dialog_id
dialog,visdial:525402,Static+Diverse 50%,0.5,10,0.6,579.5237333048135,595.5835845088586,613.6961736861849,19.3217332882341,19.25720999133773,19.742936242255382,598.8454665930476,614.6800024725962,633.2406648609322,613.679104,6136.79104,22.273912653326988,90.47919238801114,56.763769197277725,0.4803418803418803,0.4803418803418803,0.5002136752136753,100.6,2340.0,2474.0,1.22683392,0.613679104,5.286104576,6.7141428736,2.0915924992,visdial:525402
dialog,visdial:528791,FullLoad,1.0,10,0.1,669.1436290973797,659.8592289956287,761.3023344631074,33.62428700202145,28.71628597495146,53.95790082693565,702.7679160994012,707.8704015293624,803.5649875324452,1226.83392,12268.3392,0.0,,,1.0,1.0,1.0,114.2,2340.0,2488.1,1.22683392,1.22683392,5.28706304,6.7310669824,2.0974874624,visdial:528791
dialog,visdial:528791,ReComp,,10,0.1,564.304860093398,563.4116260043811,590.8419066719944,26.50611991994083,19.098001532256603,48.56615152675656,590.8109800133388,587.7064634987619,617.4751097598346,0.0,0.0,0.0,0.0,564.304672088474,,,,114.2,2340.0,2488.1,1.22683392,0.0,5.16315904,8.5712056832,2.0974321664,visdial:528791
dialog,visdial:528791,SparseVLM 25%,0.25,10,0.1,721.6142671997659,720.3926894871984,740.5817289836705,43.93815920338966,40.50450201611966,67.01157293864522,765.5524264031556,765.6663479865529,806.4116667374037,877.7695232000001,8777.695232,,,,0.24615384615384617,0.24615384615384617,0.6686004273504272,114.2,2340.0,2488.1,1.22683392,0.8202616832,5.286104576,6.7312432128,2.0972773376,visdial:528791
dialog,visdial:528791,Static+Diverse 25%,0.25,10,0.1,349.1408489004243,352.12548353592865,361.493581396644,32.913268089760095,19.96044148108922,79.1534706484526,382.0541169901844,372.7423664822709,429.3993209372274,316.735488,3167.35488,17.456633935216814,56.52840373804793,59.36353150755167,0.2465811965811966,0.2465811965811966,0.25817307692307695,114.2,2340.0,2488.1,1.22683392,0.316735488,5.28706304,6.731828736,2.0916457472,visdial:528791
dialog,visdial:528791,Static+Diverse 50%,0.5,10,0.1,571.1303444986697,569.551260501612,592.0515275618527,27.070583205204457,19.726779515622184,48.413134296424666,598.2009277038742,595.7658459956292,621.2750900944229,614.137856,6141.37856,24.0760117652826,94.34722153819166,60.536868404597044,0.4803418803418803,0.4803418803418803,0.500587606837607,114.2,2340.0,2488.1,1.22683392,0.614137856,5.286104576,6.7310305792,2.0916457472,visdial:528791
dialog,visdial:53901,FullLoad,1.0,10,0.0,656.0276141972281,647.7023780171294,735.256102157291,25.0055608979892,19.979628530563787,44.97967553907071,681.0331750952173,667.3216384951957,757.305179015384,1233.125376,12331.25376,0.0,,,1.0,1.0,1.0,101.2,2352.0,2486.5,1.233125376,1.233125376,5.292740096,6.728502272,2.1318836224,visdial:53901
dialog,visdial:53901,ReComp,,10,0.0,562.2378083062358,558.2339954853524,584.8811637319159,22.884812590200454,19.242204463807866,39.521081541897686,585.1226208964363,582.4294460180681,612.6940062851645,0.0,0.0,0.0,0.0,562.237584713148,,,,101.2,2352.0,2486.5,1.233125376,0.0,5.1688213504,8.573238272,2.1318836224,visdial:53901
dialog,visdial:53901,SparseVLM 25%,0.25,10,0.0,788.0201832973398,797.2051554825157,875.513642016449,34.17975960765034,26.598603988531977,66.43236056261227,822.1999429049902,826.3207949930802,907.0873783639399,1015.9915007999999,10159.915008,,,,0.24489795918367344,0.24489795918367344,0.7770408163265305,101.2,2352.0,2486.5,1.233125376,0.9581887487999999,5.292396032,6.729601536,2.1521051648,visdial:53901
dialog,visdial:53901,Static+Diverse 25%,0.25,10,0.0,362.00408030999824,364.23561951960437,379.28753496380523,19.422283995663747,19.370173511561006,19.939503140631132,381.426364305662,383.7994075147435,398.8121219124878,325.320704,3253.20704,17.271638428792357,57.013008662033826,55.13615270028822,0.24659863945578228,0.24659863945578228,0.2638180272108844,101.2,2352.0,2486.5,1.233125376,0.325320704,5.292740096,6.729046016,2.1454368768,visdial:53901
