dialog_id,image_id,method,budget,n_turns,quality_mean,turn1_end_to_end_ttft_ms,reuse_turns_end_to_end_ttft_ms_mean,request_ttft_sum_10turn_ms,request_e2e_sum_10turn_ms,ssd_read_bytes_turn2_10,one_time_ssd_write_bytes,persist_ms_once,two_turn_ttft_hidden_ms,two_turn_ttft_worst_ms,two_turn_e2e_hidden_ms,two_turn_e2e_worst_ms,ten_turn_ttft_hidden_ms,ten_turn_ttft_worst_ms,ten_turn_e2e_hidden_ms,ten_turn_e2e_worst_ms
visdial:521039,visdial:521039,ReComp,,10,0.9,524.1601790767163,567.0639328891411,5627.735575078987,5820.392861030996,0,0,0.0,1076.3934310525656,1076.3934310525656,1115.954031003639,1115.954031003639,5627.735575078987,5627.735575078987,5820.392861030996,5820.392861030996
visdial:521039,visdial:521039,FullLoad,,10,0.9,524.9259530100971,732.2393882269454,7115.080447052605,7355.037007131614,11041505280,1248404317,913.6452118400484,1253.590245032683,2167.2354568727314,1292.8771330043674,2206.522344844416,7115.080447052605,8028.725658892654,7355.037007131614,8268.682218971662
visdial:521039,visdial:521039,Prefix25,0.25,10,0.7,528.4650400280952,297.1952152309111,3203.2219771062955,3398.6941321054474,2887778304,1248404317,913.6452118400484,767.8855630801991,1681.5307749202475,806.6243270877749,1720.2695389278233,3203.2219771062955,4116.867188946344,3398.6941321054474,4312.339343945496
visdial:521039,visdial:521039,Prefix45,0.45,10,1.0,524.1366490954533,462.00232776916687,4682.157599017955,4898.193339002319,5303697408,1248404317,913.6452118400484,915.2856330620125,1828.930844902061,975.3013870213181,1888.9465988613665,4682.157599017955,5595.802810858004,4898.193339002319,5811.838550842367
visdial:52361,visdial:52361,ReComp,,10,0.1,476.49923898279667,499.4381871074438,4971.442922949791,5218.064106069505,0,0,0.0,953.9700490422547,953.9700490422547,1011.2097789533436,1011.2097789533436,4971.442922949791,4971.442922949791,5218.064106069505,5218.064106069505
visdial:52361,visdial:52361,FullLoad,,10,0.1,479.3016650946811,681.9344390985659,6616.711616981775,6910.6643699342385,9654239232,1091109368,837.9513940308243,1102.7243960415944,1940.6757900724187,1160.2369319880381,1998.1883260188624,6616.711616981775,7454.663011012599,6910.6643699342385,7748.615763965063
visdial:52361,visdial:52361,Prefix25,0.25,10,0.1,476.4909860678017,281.57748069821133,3010.6883123517036,3415.5866790097207,2557476864,1091109368,837.9513940308243,709.2283021192998,1547.179696150124,768.0640870239586,1606.0154810547829,3010.6883123517036,3848.639706382528,3415.5866790097207,4253.538073040545
visdial:52361,visdial:52361,Prefix45,0.45,10,0.1,476.8174650380388,391.2607641088673,3998.1643420178443,4258.649252005853,4369416192,1091109368,837.9513940308243,820.5558459740132,1658.5072400048375,877.9265689663589,1715.8779629971832,3998.1643420178443,4836.115736048669,4258.649252005853,5096.600646036677
visdial:525402,visdial:525402,ReComp,,10,0.6,556.8869499256834,565.9461342212227,5650.402157916687,5842.126838746481,0,0,0.0,1092.6327628549188,1092.6327628549188,1130.4144938476384,1130.4144938476384,5650.402157916687,5650.402157916687,5842.126838746481,5842.126838746481
visdial:525402,visdial:525402,FullLoad,,10,0.6,556.6142939496785,735.7721064472571,7178.563251974992,7382.364652003162,11041505280,1248404319,918.6873130965978,1278.153946972452,2196.84126006905,1317.6128499908373,2236.300163087435,7178.563251974992,8097.25056507159,7382.364652003162,8301.05196509976
visdial:525402,visdial:525402,Prefix25,0.25,10,0.5,556.7144140368327,309.71862233450844,3344.1820150474086,3805.4618808673695,2887778304,1248404319,918.6873130965978,801.7758240457624,1720.4631371423602,840.7033788971603,1759.390691993758,3344.1820150474086,4262.869328144006,3805.4618808673695,4724.149193963967
visdial:525402,visdial:525402,Prefix45,0.45,10,0.6,558.0664770677686,451.50984045014616,4621.655041119084,4848.4193328768015,5303697408,1248404319,918.6873130965978,965.6261111376807,1884.3134242342785,1003.9842720143497,1922.6715851109475,4621.655041119084,5540.342354215682,4848.4193328768015,5767.106645973399
visdial:528791,visdial:528791,ReComp,,10,0.1,547.5236260099337,578.217988109423,5751.485518994741,6017.743833945133,0,0,0.0,1101.6646780772135,1101.6646780772135,1177.678435924463,1177.678435924463,5751.485518994741,5751.485518994741,6017.743833945133,6017.743833945133
visdial:528791,visdial:528791,FullLoad,,10,0.1,548.4403559239581,710.4970358648441,6942.913678707555,7311.1749541712925,11041505280,1248404317,1121.4887270471081,1283.1959899049252,2404.6847169520333,1358.4365040296689,2479.925231076777,6942.913678707555,8064.402405754663,7311.1749541712925,8432.6636812184
visdial:528791,visdial:528791,Prefix25,0.25,10,0.1,551.5562169020995,264.6228906750265,2933.162232977338,3760.9599569113925,2887778304,1248404317,1121.4887270471081,779.7465379117057,1901.2352649588138,855.9270108817145,1977.4157379288226,2933.162232977338,4054.6509600244462,3760.9599569113925,4882.448683958501
visdial:528791,visdial:528791,Prefix45,0.45,10,0.1,547.7725700475276,438.3838026292829,4493.226793711074,5311.188107938506,5303697408,1248404317,1121.4887270471081,894.7304639732465,2016.2191910203546,970.3925390494987,2091.881266096607,4493.226793711074,5614.715520758182,5311.188107938506,6432.676834985614
visdial:53901,visdial:53901,ReComp,,10,0.0,562.8788660978898,575.4225669790887,5741.681968909688,5972.353418008424,0,0,0.0,1125.6494430126622,1125.6494430126622,1165.521658025682,1165.521658025682,5741.681968909688,5741.681968909688,5972.353418008424,5972.353418008424
visdial:53901,visdial:53901,FullLoad,,10,0.0,559.0208369540051,705.2491065632138,6906.262796022929,7222.581559093669,11098128384,1260987874,982.865473954007,1217.0427439268678,2199.908217880875,1256.0071289772168,2238.872602931224,6906.262796022929,7889.128269976936,7222.581559093669,8205.447033047676
visdial:53901,visdial:53901,Prefix25,0.25,10,0.1,557.7274669194594,313.16989763743345,3376.2565456563607,3848.796860780567,2944401408,1260987874,982.865473954007,848.6907938495278,1831.5562678035349,886.5113198990002,1869.3767938530073,3376.2565456563607,4359.122019610368,3848.796860780567,4831.662334734574
visdial:53901,visdial:53901,Prefix45,0.45,10,0.1,558.1096250098199,461.12859820843573,4708.267008885741,5167.741470970213,5360320512,1260987874,982.865473954007,1025.3500390099362,2008.2155129639432,1064.5860719960183,2047.4515459500253,4708.267008885741,5691.132482839748,5167.741470970213,6150.60694492422
visdial:545142,visdial:545142,ReComp,,10,0.3,510.3694450808689,511.78752856018644,5116.457202122547,5344.464372959919,0,0,0.0,1023.9213841268793,1023.9213841268793,1062.4720100313425,1062.4720100313425,5116.457202122547,5116.457202122547,5344.464372959919,5344.464372959919
visdial:545142,visdial:545142,FullLoad,,10,0.3,511.3498120335862,646.5226787711597,6330.053920974024,6591.8499970575795,10116661248,1143541015,1143.8591959886253,1114.0971780987456,2257.956374087371,1154.0325650712475,2297.891761059873,6330.053920974024,7473.913116962649,6591.8499970575795,7735.709193046205
visdial:545142,visdial:545142,Prefix25,0.25,10,0.3,510.3202359750867,276.1045986553654,2995.2616238733754,3225.5674358457327,2566914048,1143541015,1143.8591959886253,836.5080959629267,1980.367291951552,876.1841800296679,2020.0433760182932,2995.2616238733754,4139.120819862001,3225.5674358457327,4369.426631834358
visdial:545142,visdial:545142,Prefix45,0.45,10,0.3,510.7006010366604,391.055042648481,4030.1959848729894,4273.0849218787625,4680843264,1143541015,1143.8591959886253,932.628704002127,2076.4878999907523,971.8799829715863,2115.7391789602116,4030.1959848729894,5174.055180861615,4273.0849218787625,5416.944117867388
visdial:549046,visdial:549046,ReComp,,10,0.0,557.4182770214975,570.1542381171344,5688.806420075707,6061.427300097421,0,0,0.0,1114.5292180590332,1114.5292180590332,1152.6345410384238,1152.6345410384238,5688.806420075707,5688.806420075707,6061.427300097421,6061.427300097421
visdial:549046,visdial:549046,FullLoad,,10,0.0,564.16970200371,718.2919478768276,7028.797232895158,7461.931108031422,11041505280,1248404321,985.2554780663922,1273.4349969541654,2258.6904750205576,1311.820933013223,2297.0764110796154,7028.797232895158,8014.0527109615505,7461.931108031422,8447.186586097814
visdial:549046,visdial:549046,Prefix25,0.25,10,0.0,557.4793700361624,269.7770798889299,2985.4730890365317,3724.117746925913,2887778304,1248404321,985.2554780663922,829.9920529825613,1815.2475310489535,868.0862609762698,1853.341739042662,2985.4730890365317,3970.728567102924,3724.117746925913,4709.373224992305
visdial:549046,visdial:549046,Prefix45,0.45,10,0.0,558.3332539536059,436.0008136395158,4482.340576709248,5330.296805594116,5303697408,1248404321,985.2554780663922,951.9364578882232,1937.1919359546155,991.7774188797921,1977.0328969461843,4482.340576709248,5467.59605477564,5330.296805594116,6315.552283660509
visdial:558901,visdial:558901,ReComp,,10,0.5,556.2227459158748,562.2083168968352,5616.097597987391,5808.26028867159,0,0,0.0,1132.4016068829224,1132.4016068829224,1170.8826048998162,1170.8826048998162,5616.097597987391,5616.097597987391,5808.26028867159,5808.26028867159
visdial:558901,visdial:558901,FullLoad,,10,0.5,556.0887430328876,707.9251787573513,6927.415351849049,7182.937962934375,11041505280,1248404321,915.9589919727296,1288.838285021484,2204.7972769942135,1360.8133430825546,2276.772335055284,6927.415351849049,7843.374343821779,7182.937962934375,8098.896954907104
visdial:558901,visdial:558901,Prefix25,0.25,10,0.5,556.0067590558901,269.93197599788095,2985.3945430368185,3177.8146559372544,2887778304,1248404321,915.9589919727296,827.1027350565419,1743.0617270292714,864.8646658984944,1780.823657871224,2985.3945430368185,3901.353535009548,3177.8146559372544,4093.773647909984
visdial:558901,visdial:558901,Prefix45,0.45,10,0.5,561.5522749722004,423.4555250085476,4372.652000049129,4569.897742941976,5303697408,1248404321,915.9589919727296,985.1580320391804,1901.11702401191,1024.4453749619424,1940.404366934672,4372.652000049129,5288.610992021859,4569.897742941976,5485.856734914705
visdial:56454,visdial:56454,ReComp,,10,0.2,487.61874600313604,521.5944392451396,5181.968699209392,5371.155366185121,0,0,0.0,973.8390899728984,973.8390899728984,1011.1766499467194,1011.1766499467194,5181.968699209392,5181.968699209392,5371.155366185121,5371.155366185121
visdial:56454,visdial:56454,FullLoad,,10,0.2,488.4570239810273,665.0770871330881,6474.15080817882,6686.125078005716,10192158720,1160319010,1120.942963869311,1180.42032700032,2301.363290869631,1219.3274009041488,2340.2703647734597,6474.15080817882,7595.093772048131,6686.125078005716,7807.068041875027
visdial:56454,visdial:56454,Prefix25,0.25,10,0.2,492.46684997342527,258.7145035698389,2820.8973821019754,3048.0140689760447,2642411520,1160319010,1120.942963869311,735.0569969275966,1855.9999607969075,774.1221329197288,1895.0650967890397,2820.8973821019754,3941.8403459712863,3048.0140689760447,4168.957032845356
visdial:56454,visdial:56454,Prefix45,0.45,10,0.2,488.1220499519259,395.4652924504545,4047.3096820060164,4240.675474982709,4756340736,1160319010,1120.942963869311,892.8259679814801,2013.768931850791,931.6333628958091,2052.57632676512,4047.3096820060164,5168.252645875327,4240.675474982709,5361.61843885202
visdial:565316,visdial:565316,ReComp,,10,0.5,528.1602200120687,575.3111433134311,5705.960509832948,6007.2894470067695,0,0,0.0,1089.166688034311,1089.166688034311,1126.989935990423,1126.989935990423,5705.960509832948,5705.960509832948,6007.2894470067695,6007.2894470067695
visdial:565316,visdial:565316,FullLoad,,10,0.5,528.1548589700833,762.2710824556028,7388.594601070508,7717.902335105464,11041505280,1248404313,891.5551630780101,1264.668054995127,2156.223218073137,1310.023981030099,2201.579144108109,7388.594601070508,8280.149764148518,7717.902335105464,8609.457498183474
visdial:565316,visdial:565316,Prefix25,0.25,10,0.5,554.7826029360294,270.19120043971475,2986.503406893462,3306.3175837742165,2887778304,1248404313,891.5551630780101,787.2161578852683,1678.7713209632784,825.9740038774908,1717.5291669555008,2986.503406893462,3878.058569971472,3306.3175837742165,4197.872746852227
visdial:565316,visdial:565316,Prefix45,0.45,10,0.5,527.6061010081321,436.6018829168752,4457.023047260009,4778.390040039085,5303697408,1248404313,891.5551630780101,959.6339940326288,1851.189157110639,999.6910829795524,1891.2462460575625,4457.023047260009,5348.578210338019,4778.390040039085,5669.945203117095
visdial:567353,visdial:567353,ReComp,,10,0.7,548.9145409082994,566.6474936555865,5648.741983808577,6025.585560943,0,0,0.0,1076.4949398580939,1076.4949398580939,1115.7776069594547,1115.7776069594547,5648.741983808577,5648.741983808577,6025.585560943,6025.585560943
visdial:567353,visdial:567353,FullLoad,,10,0.7,549.3381820851937,729.1618943498987,7111.795231234282,7543.271325877868,11041505280,1248404316,886.5377210313454,1293.631327105686,2180.1690481370315,1332.242693984881,2218.7804150162265,7111.795231234282,7998.332952265628,7543.271325877868,8429.809046909213
