metric,level,dialog_id,method,budget,scenario,break_even_turn,censored_at_turn_10,stays_better_through_turn_10,better_at_turn_2,two_turn_ours_ms,two_turn_recomp_ms,two_turn_delta_ms,ten_turn_ours_ms,ten_turn_recomp_ms,ten_turn_delta_ms
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:133780,Prefix45,0.45,hidden,2,False,True,True,1528.4714001463726,1649.7952890349552,-121.32388888858259,6290.77143012546,8214.467993122526,-1923.6965629970655
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:133780,Prefix45,0.45,worst,8,False,True,False,2787.679639062844,1649.7952890349552,1137.884350027889,7549.979669041932,8214.467993122526,-664.4883240805939
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:135653,Prefix25,0.25,hidden,2,False,True,True,840.7787630567327,1122.6216990035027,-281.84293594677,3190.7814129954204,5799.667231040075,-2608.885818044655
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:135653,Prefix25,0.25,worst,5,False,True,False,1846.0271280491725,1122.6216990035027,723.4054290456697,4196.02977798786,5799.667231040075,-1603.6374530522153
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:135653,Prefix45,0.45,hidden,2,False,True,True,1011.0855120001361,1122.6216990035027,-111.53618700336665,4644.986807834357,5799.667231040075,-1154.6804232057184
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:135653,Prefix45,0.45,worst,9,False,True,False,2016.3338769925758,1122.6216990035027,893.7121779890731,5650.235172826797,5799.667231040075,-149.43205821327865
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:145204,Prefix25,0.25,hidden,2,False,True,True,759.5668609719723,965.9175750566646,-206.3507140846923,3132.3781609535217,5099.833748070523,-1967.4555871170014
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:145204,Prefix25,0.25,worst,5,False,True,False,1592.7711710100994,965.9175750566646,626.8535959534347,3965.5824709916487,5099.833748070523,-1134.2512770788744
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:145204,Prefix45,0.45,hidden,2,False,True,True,776.3533970573917,965.9175750566646,-189.56417799927294,3915.026384056546,5099.833748070523,-1184.8073640139773
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:145204,Prefix45,0.45,worst,8,False,True,False,1609.5577070955187,965.9175750566646,643.6401320388541,4748.230694094673,5099.833748070523,-351.60305397585034
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:156344,Prefix25,0.25,hidden,2,False,True,True,652.9058560263366,779.8608880257234,-126.95503199938685,2760.0056449882686,3929.152287193574,-1169.1466422053054
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:156344,Prefix25,0.25,worst,7,False,True,False,1335.2551108691841,779.8608880257234,555.3942228434607,3442.354899831116,3929.152287193574,-486.7973873624578
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:156344,Prefix45,0.45,hidden,2,False,True,True,747.6893669227138,779.8608880257234,-32.17152110300958,3540.6955832149833,3929.152287193574,-388.45670397859067
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:156344,Prefix45,0.45,worst,,True,,False,1430.0386217655614,779.8608880257234,650.177733739838,4223.044838057831,3929.152287193574,293.8925508642569
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:161902,Prefix25,0.25,hidden,2,False,True,True,779.2762309545651,1049.529059091583,-270.2528281370178,3005.604089004919,5422.653489164077,-2417.049400159158
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:161902,Prefix25,0.25,worst,6,False,True,False,1853.9548990083858,1049.529059091583,804.4258399168029,4080.2827570587397,5422.653489164077,-1342.370732105337
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:161902,Prefix45,0.45,hidden,2,False,True,True,927.2227139445022,1049.529059091583,-122.30634514708072,4169.216200825758,5422.653489164077,-1253.4372883383185
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:161902,Prefix45,0.45,worst,10,False,True,False,2001.901381998323,1049.529059091583,952.37232290674,5243.894868879579,5422.653489164077,-178.75862028449774
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:172461,Prefix25,0.25,hidden,2,False,True,True,749.1778910625726,1068.5620749136433,-319.3841838510707,2968.3235951233655,5425.2495400141925,-2456.925944890827
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:172461,Prefix25,0.25,worst,5,False,True,False,1844.8221039725468,1068.5620749136433,776.2600290589035,4063.9678080333397,5425.2495400141925,-1361.2817319808528
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:172461,Prefix45,0.45,hidden,2,False,True,True,912.1580959763378,1068.5620749136433,-156.4039789373055,4031.600382993929,5425.2495400141925,-1393.6491570202634
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:172461,Prefix45,0.45,worst,9,False,True,False,2007.802308886312,1068.5620749136433,939.2402339726686,5127.244595903903,5425.2495400141925,-298.0049441102892
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:174525,Prefix25,0.25,hidden,2,False,True,True,851.2159740785137,1131.9637460401282,-280.7477719616145,3870.0321433134377,5798.550537787378,-1928.5183944739401
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:174525,Prefix25,0.25,worst,5,False,True,False,1752.3828231496736,1131.9637460401282,620.4190771095455,4771.198992384598,5798.550537787378,-1027.3515454027802
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:174525,Prefix45,0.45,hidden,2,False,True,True,986.4593888632953,1131.9637460401282,-145.50435717683285,4815.860962844454,5798.550537787378,-982.6895749429241
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:174525,Prefix45,0.45,worst,8,False,False,False,1887.6262379344553,1131.9637460401282,755.6624918943271,5717.027811915614,5798.550537787378,-81.52272587176412
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:174686,Prefix25,0.25,hidden,2,False,True,True,918.141997884959,1065.5441930284724,-147.40219514351338,3110.179612063803,5482.879688031971,-2372.7000759681687
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:174686,Prefix25,0.25,worst,5,False,True,False,1762.2102597961202,1065.5441930284724,696.6660667676479,3954.247873974964,5482.879688031971,-1528.6318140570074
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:174686,Prefix45,0.45,hidden,2,False,True,True,921.5058239642531,1065.5441930284724,-144.0383690642193,4102.179280947894,5482.879688031971,-1380.7004070840776
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:174686,Prefix45,0.45,worst,8,False,True,False,1765.5740858754143,1065.5441930284724,700.029892846942,4946.247542859055,5482.879688031971,-536.6321451729164
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:174813,Prefix25,0.25,hidden,2,False,True,True,736.6380339954048,890.2685559587553,-153.63052196335047,3329.770007287152,4123.763225856237,-793.993218569085
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:174813,Prefix25,0.25,worst,10,False,True,False,1406.7408429691568,890.2685559587553,516.4722870104015,3999.872816260904,4123.763225856237,-123.89040959533304
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:174813,Prefix45,0.45,hidden,2,False,True,True,872.0205880235881,890.2685559587553,-18.247967935167253,4015.9830970223993,4123.763225856237,-107.78012883383781
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:174813,Prefix45,0.45,worst,,True,,False,1542.12339699734,890.2685559587553,651.8548410385847,4686.085905996151,4123.763225856237,562.3226801399142
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:175667,Prefix25,0.25,hidden,2,False,True,True,874.7703359695151,1136.3165430957451,-261.54620712623,3528.572450974025,5811.446073115803,-2282.8736221417785
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:175667,Prefix25,0.25,worst,6,False,True,False,2113.591665867716,1136.3165430957451,977.2751227719709,4767.393780872226,5811.446073115803,-1044.0522922435775
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:175667,Prefix45,0.45,hidden,2,False,True,True,1003.2416329486296,1136.3165430957451,-133.0749101471156,4785.822108620778,5811.446073115803,-1025.6239644950256
