turn_id,method,budget,n_dialogs,quality_mean,history_tokens_mean,ssd_read_bytes_mean,ssd_read_bytes_total,ssd_preads_mean,end_to_end_ttft_ms_mean,end_to_end_ttft_ms_p50,end_to_end_ttft_ms_p95,core_ttft_ms_mean,core_ttft_ms_p50,core_ttft_ms_p95,pre_core_ms_mean,pre_core_ms_p50,pre_core_ms_p95,vision_ms_mean,vision_ms_p50,vision_ms_p95,ssd_read_ms_mean,ssd_read_ms_p50,ssd_read_ms_p95,scatter_ms_mean,scatter_ms_p50,scatter_ms_p95,prefill_ms_mean,prefill_ms_p50,prefill_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,request_e2e_ms_mean,request_e2e_ms_p50,request_e2e_ms_p95,end_to_end_ttft_delta_vs_recomp_ms,end_to_end_ttft_reduction_vs_recomp_pct
6,Prefix45,0.45,100,0.49,103.66,554801561.6,55480156160,65.0,418.4164709527977,421.2760774535127,484.8677941772621,417.98375228303485,420.8437299821526,484.43220645422116,0.4327186697628349,0.43003499740734696,0.5078245303593576,0.0,0.0,0.0,219.10105074057356,221.1433799820952,273.74501994345337,82.67797270440497,83.55262503027916,91.18665077257901,56.08322013635188,57.56822845432907,64.08703054767102,43.937263580737635,19.44910903694108,221.97671334142797,462.7896402357146,453.0547665199265,651.7853145254776,-120.96364447497763,22.42641896041031
7,ReComp,,100,0.42,121.53,0.0,0,0.0,544.1037452197634,548.8254249794409,593.119639006909,528.5408915928565,532.020069018472,576.2445223866962,15.562853626906872,15.434539469424635,18.96701479563489,38.19668977737427,38.99542427062988,39.13377571105957,0.0,0.0,0.0,0.0,0.0,0.0,528.5408172849566,532.0199980633333,576.2444668216631,31.506597453262657,19.18341900454834,95.28708704165157,575.7052869256586,571.4846214978024,765.2735073701479,0.0,0.0
7,FullLoad,,100,0.42,121.53,1169434869.76,116943486976,64.0,691.9293875887524,689.4596945494413,821.3662154448683,691.4671749365516,689.0142214833759,820.8914352406281,0.46221265220083296,0.46187901170924306,0.5241169536020607,0.0,0.0,0.0,422.36251497874036,423.2037548208609,503.6707192193717,0.0,0.0,0.0,686.6162806504872,684.2457849998027,815.2654846780932,37.19205081346445,20.513571973424405,139.66686907224343,729.2646668525413,721.3724729954265,884.2663037299644,147.82564236898907,-27.168650035533638
7,Prefix25,0.25,100,0.39,121.53,306834309.12,30683430912,65.0,282.5563285429962,285.5909495265223,324.74170337081887,282.09393320954405,285.1771975401789,324.2523761873599,0.4623953334521502,0.44530100421980023,0.575369322905317,0.0,0.0,0.0,139.1211753047537,136.96377840824425,172.39913070807233,51.26663512783125,52.628646488301456,58.29290068941191,59.0642810810823,59.45029994472861,64.98308957670815,52.89408846059814,19.507079967297614,221.86529651517048,335.8830893377308,312.9213869688101,516.853294923203,-261.54741667676717,48.06940201654525
7,Prefix45,0.45,100,0.42,121.53,554801561.6,55480156160,65.0,421.8704606825486,421.98042647214606,493.2424660073593,421.41599593218416,421.5340269729495,492.8017721395008,0.4544647503644228,0.45493151992559433,0.5222580686677247,0.0,0.0,0.0,219.80328454752453,220.93866596696898,274.83342750929296,82.04064961872064,82.57175434846431,91.48229182465002,59.966651543509215,60.034706024453044,65.04620800260454,42.9372041975148,19.450536463409662,185.42016589199193,465.30774414888583,452.63017347315326,631.0813760908786,-122.23328453721479,22.465069503949987
8,ReComp,,100,0.47,138.35,0.0,0,0.0,548.1381372490432,549.3540829629637,590.8578403119463,532.5265938870143,533.9981464785524,574.957527598599,15.611543362028897,15.357067459262908,18.826821679249406,38.16560411453247,39.00499153137207,39.17506580352783,0.0,0.0,0.0,0.0,0.0,0.0,532.526517821243,533.998069469817,574.9574380577542,29.718700492521748,18.974192556925118,59.86225287779209,577.9511874553282,573.0107264826074,740.4438188648783,0.0,0.0
8,FullLoad,,100,0.47,138.35,1169434869.76,116943486976,64.0,692.787004535785,702.0443904912099,833.0551718885544,692.3074923397508,701.5392199973576,832.6045378635171,0.47951219603419304,0.4789574886672199,0.5707705160602927,0.0,0.0,0.0,423.9388043608051,427.5697029661387,510.2975852205418,0.0,0.0,0.0,687.4685809842777,696.6815065243281,827.6308702188543,36.13171807373874,20.268469001166523,147.36235213349573,729.063693836797,731.0684369876981,924.2756640771403,144.64886728674173,-26.389126655681206
8,Prefix25,0.25,100,0.43,138.35,306834309.12,30683430912,65.0,286.8710105482023,285.940405970905,339.8821405833587,286.39982589287683,285.4837574996054,339.3152794567868,0.47118465532548726,0.45864947605878115,0.5719445878639817,0.0,0.0,0.0,140.4724967153743,135.67878905450925,180.7135340059176,51.80877321748994,52.39163769874722,59.40308510907926,61.18368815514259,61.527780489996076,65.93567872187123,44.5566328719724,19.362168561201543,203.37694266927429,332.0456665090751,314.5343190408312,495.8957782480866,-261.2671267008409,47.664467940886176
8,Prefix45,0.45,100,0.47,138.35,554801561.6,55480156160,65.0,426.3785038108472,428.46460751025006,513.6932673573028,425.91256274608895,427.96868446748704,513.2259391364641,0.4659410647582263,0.4625504952855408,0.5291127017699182,0.0,0.0,0.0,222.45452385162935,219.2222677404061,285.8399196411483,82.42421938339248,81.92039671121165,93.11791119398549,61.253457554848865,61.22507498366758,66.06891572591849,40.44344699126668,19.33832047507167,203.27911532367577,467.33912937226705,452.91470451047644,623.5368586378171,-121.75963343819603,22.213311784739997
9,ReComp,,100,0.48,155.41,0.0,0,0.0,550.4912801354658,553.3336249645799,613.788529636804,535.1092034229077,537.8010144922882,598.2209681416862,15.382076712558046,15.296414552722126,17.740732367383316,38.180928554534916,38.996896743774414,39.11270523071289,0.0,0.0,0.0,0.0,0.0,0.0,535.1091280917171,537.8009370178916,598.2208918372635,30.42201152886264,19.05900950077921,109.55798270879302,581.00797285093,574.3912240141071,683.9511858532204,0.0,0.0
